Precinct,Phone,Address,Borough,State,Latitude,Longitude
109th Precinct,718-321-2250,37-05 Union Street,Queens,New York,40.762386,-73.827494
110th Precinct,718-476-9311,94-41 43rd Avenue,Queens,New York,40.74501,-73.870052
111th Precinct,718-279-5200,45-06 215th Street,Queens,New York,40.760253,-73.767457
112th Precinct,718-520-9311,68-40 Austin Street,Queens,New York,40.722533,-73.851242
113th Precinct,718-712-7733,167-02 Baisley Boulevard,Queens,New York,40.679999,-73.77604
114th Precinct,718-626-9311,34-16 Astoria Boulevard,Queens,New York,40.756647,-73.875525
115th Precinct,718-533-2002,92-15 Northern Boulevard,Queens,New York,40.756647,-73.875525
120th Precinct,718-876-8500,78 Richmond Terrace,Staten Island,New York,40.644798,-74.07717
121st Precinct,718-697-8700,970 Richmond Avenue,Staten Island,New York,40.623806,-74.149139
122nd Precinct,718-667-2211,2320 Hylan Boulevard,Staten Island,New York,40.574322,-74.105802
123rd Precinct,718-948-9311,116 Main Street,Staten Island,New York,40.512003,-74.249727
